index	metaphor_label	sentence	pos_tag	word_index	metaphor_word
0	1	The approach to the University is being restructured to ease the flow of traffic	NN	1	approach
1	1	All these projects are being executed with an eye to aesthetics.	NN		eye
2	1	I have gone to these lengths to itemize these examples of current development.	NN	5	lengths
3	1	We therefore appeal to you to bear with us in full	ADJ	10	full
4	1	We will soon yield tangible results.	VBN	3	yield
5	0	To demonstrate our capacity for executing approved projects		-1	
6	1	We are up to the task.	RB	2	up
7	0	Man might be good.		-1	
8	1	If you look at the folly and cruelty of todays world	VBP	2	look
9	0	But human nature can be changed.		-1	
10	1	The art of changing people has been lost in the modern world.	VBN	7	lost
11	1	That is why the modern world has lost its way.	NN	9	way
12	1	There are two ways of looking at human nature.	NNS	3	ways
13	1	That is what most people in the free world do today.	ADJ	7	free
14	1	They do not expect faith to change men.	VB	6	change
15	1	Another way of dealing with human nature is to exploit it.	NN	1	way
16	1	Vanity, fear, ambition, lust and greed are used to control the life of men	VB	12	control
17	1	This point of view is widely accepted as right and proper	DT	0	This
18	1	To send prisoners back to the outside world is to confirm them in their old way of life.	NN	15	way
19	0	Training for work and training by work.		-1	
20	1	The prisoner needs to be trained in habits of industry	VBN	5	trained
21	1	He may find a pride of achievement in something more satisfying	VB	2	find
22	1	But these things can only come when the work itself has a purpose and demands an effort.	DT	1	these
23	1	It is now a worldwide organization dedicated to helping needy children everywhere.	VBN	6	dedicated
24	1	Our job in Malawi is to give those unfortunate children the rights that they are deprived of through no fault of theirs.	VB	6	give
25	1	One of those who benefited from the help of the Fund is Samuel Mpetechula	DT	2	those
26	0	His sponsorship started in 1967.	-1
27	1	They even built a house for me at home and looked after my family while I was a student.	IN	11	after
28	1	They were really helpful to me	TO	4	to
29	1	Another important function of the work of the SCF is in the field of nutrition.	NN	12	field
30	1	They can be bribed or forced to play their part	VBN	5	forced
31	1	Of course, there is an element of trust in this view of the tribal artist as copyist	NN	6	element
32	0	He tried to pull the fish in but it slipped off the hook		-1	
33	0	Alan put down his rod and went through the gate		-1	
34	1	The picnickers spent the rest of the day searching the field.	VBD	2	spent
35	0	Silk is one of the strongest of fibres.		-1	
36	0	silk fabrics have been regarded as the most beautiful and durable materials woven by man.		-1	
37	0	silk is the cloth of kings and queens		-1	
38	0	The weaving of silk originated in China		-1	
39	0	The Empress took some of the cocoons into the palace to see what they were made of.		-1	
40	1	She was delighted with the discovery	IN	3	with
41	1	People in other countries regarded the new fibres as something rare and beautiful.	VBD	4	regarded
42	1	A few traders went to China to learn about making cloth from silk	IN	8	about
43	1	Mathematics is the language in which the Book of Nature is written	IN	4	in
44	1	Mathematics is the queen of the sciences.	NN	3	queen
45	1	It is universally agreed that Mathematics is the backbone of Science and Technology.	NN	8	backbone
46	1	For without Mathematics the engineer is but an artist or a sculptor.	IN	1	without
47	0	Mathematics is indeed the science of sciences.		-1	
48	1	Thus the poet arranges words to produce a pattern called poetry	VB	6	produce
49	1	Days passed fast for Ntanya and Teresa.	VBD	1	passed
50	0	They could hardly notice the land getting brown all over Kachawanga		-1	
51	1	neither of them hardly noticed any more when the sun come up and go down.	VB	10	come
52	1	Ntanya would work very hard in the field hauling in the last harvest.	RB	4	hard
53	1	She would cook his meal with extra care.	IN	5	with
54	0	When there was little meat she would only give bits to the children.		-1	
55	1	She would not even touch it herself but use only the smell to get her food down	VB	13	get
56	0	reserve the whole chunk for her husband		-1	
57	1	every bolus that went down tanya's throat would also go down her own throat.	VBD	3	went
58	1	I come before you this evening as a man whose honesty and integrity have been questioned.	DT	4	this
59	1	the usual political thing to do when charges are levelled against you is either to ignore them or to deny them	NN	3	thing
60	1	let me state categorically that I have not touched a kobo of the N50,000 we contributed	NN	2	state
61	1	Every kobo of it has been used in defraying political campaign expenses.	IN	7	in
62	1	You will find that the purpose of the fund was primarily to defray political expenses	VB	2	find
63	1	And I can say that never, since I became a Senator, have I made a telephone call.	VBD	15	made
64	1	Those who are familiar with it will tell you that Ludo is a game of chance and skill.	DT	0	Those
65	1	You need skill in deciding how to make the most advantageous use of the figures that turn up on the die when you cast it.	IN	3	in
66	1	The element of luck, again as in human life, plays a dominant role however.	NN	1	element
67	1	While a combination of ones and twos may be useful in checking the advance of one’s opponents	IN	10	in
68	1	it will not take one home fast enough to win.	VB	3	take
69	1	There are one or two things this country can teach others	NNS	5	things
70	1	One suspects that the reason why some of our newspapers still manage to break even is because of the great amount of revenue they derive from obituaries.	VBP	11	manage
71	1	One possible explanation for this is that Nigerians value their dead greatly.	DT	4	this
72	1	And there is a saying amongst us that you do not say evil things against the dead.	NN	5	amongst
73	1	This is obviously the philosophy behind the large dose of encomiums with which our dead are bestowed.	DT	0	This
74	1	You all know how friendly we are with Okperi	IN	7	with
75	0	I speak as your elder brother		-1	
76	1	I can tell you that there is no escape from the whiteman.	NN	8	escape
77	1	When suffering knocks at your door and you say there is no seat left for him	NNS	2	knocks
78	1	Then I knew there was no escape.	NN	6	escape
79	1	As daylight chases away darkness	RB	3	away
80	0	the white man drive away all our customs.		-1	
81	1	I know that as I say it now it passes by your ears	IN	2	that
82	1	The white man has power which comes from the true God and it burns like fire.	VBZ	3	has
83	1	We are talking about the white man's way	IN	3	about
84	0	when the roof and the walls of a house fall in		-1	
85	0	the ceiling is not left standing.		-1	
86	1	records of events were kept only in people’s minds.	VBN	4	kept
87	1	It depended very much on the retentive power of the human memory	IN	4	on
88	1	Interminable arguments were thus the order of the day.	NN	5	order
89	1	these dangers have been largely overcome.	DT	0	these
90	1	To listen properly is hard job	JJ	4	hard
91	1	Good listening has nothing to do with proper functioning of one’s auditory organs	VBZ	2	has
92	0	The ability to listen properly aids communication and understanding.		-1	
93	1	In the past learning English as a separate subject seemed relatively easy.	IN	0	In
94	0	New items were carefully controlled so that the student could cope quite easily.		-1	
95	1	Difficulties with the language interact with difficulties as regards the subject matter.	IN	1	with
96	1	The student’s reading in his own subject slows down and his comprehension becomes less secure.	IN	5	in
97	1	He expresses himself slowly and often fails to convey his ideas exactly.	VB	8	convey
98	1	the language seems now to be in control of the student.	IN	6	in
99	1	His eyes widened as they fell upon something strange.	VBD	5	fell
100	0	Something was moving slowly and cautiously along the gutter.		-1	
101	1	The pale yellow and brown of the snake’s body glistened like a stream of flowing metal.	NN	1	pale
102	1	its slow movements betrayed uneasiness and confusion.	VBN	3	betrayed
103	1	As he watched it his instinctive antipathy melted away.	VBD	7	melted
104	1	The snake was nursing a cold anger that could find no vent.	VBG	3	nursing
105	1	It moved forward until a light touch from the twigs fell upon its head.	JJ	5	light
106	1	The little plant was now doing no more than slightly swaying and dipping.	VBG	5	doing
107	1	And there was the snake writhing in agony.	IN	6	in
108	0	The world is mystery and horror.		-1	
109	1	The psychologist means that the child is aware that he is a self and not an extension of his mother.	NN	16	extension
110	1	An adult is able to weigh the consequences of his actions	VB	5	weigh
111	0	he has developed a concept of the idea of time.		-1	
112	1	The young child lacks this concept and is governed by immediate desires which must be fulfilled.	VBZ	3	lacks
113	1	Thus in some situations, he can be excused for not behaving morally, i.e., making the choice which is ‘good’ for himself and others.	IN	1	in
114	1	In other situations, he knows what is right and chooses not to do it.	IN	0	In
115	1	Immature adults can also behave in this self-centred way.	IN	5	in
116	1	If we examine the opportunities for education of girls or women in less developed countries, we usually find a dismal picture.	VBP	2	examine
117	1	In some countries, the ratio of boys to girls in secondary schools is more than seven to one.	TO	8	to
118	1	What happens to the girls?	TO	2	to
119	1	Often they are kept at home to look after younger siblings and to perform a variety of domestic chores.	IN	8	after
120	1	Their education is not perceived as in any way equal in importance to that of boys.	VBN	4	perceived
121	1	When a non-literate or barely literate girl reaches adolescence, she has little or no qualification for employment, even if her community provides any opportunity for the employment of women.	VBZ	7	reaches
122	1	The solution is to get her married as soon as possible, with the inevitable result that she produces children too soon, too often and too late.	IN	12	with
123	1	With no formal education, she is hardly aware that there is any alternative.	IN	0	With
124	1	In a study made in Thailand, it was noted that the literate woman marries later and ceases childbearing earlier than her non-literate counterpart.	IN	0	In
125	1	But the latter is so chained to her household by the necessities of gathering fuel, preparing food and tending children that she is very difficult to reach, even if health services, nutrition, education, maternal and child health centers are available in her community.	JJ	5	chained
126	0	She does not understand what they are intended to do.		-1	
127	1	The importance of the code theory in education lies in the fact that the school system requires the use of an elaborated code but not all students have access to it.	IN	6	in
128	1	The importance of this theory to sociology lies in the fact that the differential access to the elaborated code does not occur randomly but rather is controlled by the class system.	DT	3	this
129	1	Lower working-class urban children tend to have a restricted code.	JJR	0	Lower
130	1	Middle-class children possess both a restricted and an elaborated code.	IN	2	possess
131	1	The two groups enter into different types of relationships and learn to express themselves in different ways through language.	VBP	3	enter
132	1	They do not use language for the same functions, some of which, it seems, are necessary for the school situation.	NN	22	situation
133	1	When the lower working-class child is expected implicitly to exploit language for functions he normally does not express verbally, a discontinuity is created between his home and his school environment.	JJR	2	lower
134	1	He has learned to verbalize a certain range of meanings in his home and when he enters school, another range of meanings is required.	NN	7	range
135	1	There is, then a very subtle, but but nonetheless very real, sense in which what is taught is personally irrelevant for this child.	NN	14	sense
136	1	The school system does not talk to him.	VB	5	talk
137	1	The young are not listening to their elders, and perhaps they never have.	TO	5	to
138	1	But now it happens that, with many of them, the reason may be medical.	IN	6	with
139	0	The young aren’t listening because they can’t hear.		-1	
140	1	Just as nagging parents have long suspected, otologists (hearing specialists) now report that youngsters are going deaf as a result of blasting their eardrums with electronically amplified rock ‘n’ roll.	VBG	24	blasting
141	1	The hearing specialists used to worry about loud noise as a cause of deafness only in industrial and military situations.	IN	6	about
142	1	They knew that eight hours of daily exposure, year in and year out, to the din of the proverbial boiler factory, would eventually result in permanent hearing loss.	IN	10	in
143	0	Riveters were particularly susceptible.		-1	
144	1	Then they learned that the same thing happened to aviators.	NN	6	thing
145	1	After the advent of jets, the hazard applied to ground crews at airports and flight-deck personnel aboard aircraft carriers – hence the introduction of insulated, noise-absorbing plastic earmuffs.	IN	0	After
146	1	In discotheques and rock ‘n’ roll joints, the trouble is not much in the instruments themselves, or the close quarters.	NNS	8	joints
